GAME_ID,DATE,HOMETEAM,AWAYTEAM,HOMESPREAD_ATOPEN,HOMESPREAD_ATCLOSE,OVER_ATOPEN,OVER_ATCLOSE,HOMEML,AWAYML,2H_HOMESPREAD,2H_OVER,WL_HOME,PLUS_MINUS_HOME
20700081,2007-11-10 00:00:00,NJN,BOS,-2.0,3.0,186.0,182.5,2.3,1.6666666666666663,0.0,95.0,L,-11.0
20700082,2007-11-10 00:00:00,CHI,TOR,-5.5,-6.5,191.0,189.5,1.3846153846153846,3.2,-6.0,93.0,L,-30.0
20700083,2007-11-10 00:00:00,UTA,MEM,-11.0,-10.0,219.0,216.0,1.1666666666666667,5.75,-2.0,107.5,W,24.0
20700084,2007-11-10 00:00:00,SAC,MIN,-4.5,-4.5,193.5,193.0,1.5,2.7,-2.0,93.5,W,7.0
20700085,2007-11-10 00:00:00,POR,DAL,8.0,7.5,202.5,201.5,3.9,1.2857142857142856,8.0,100.0,W,9.0
20700086,2007-11-11 00:00:00,ATL,WAS,-5.0,-5.5,195.5,192.5,1.434782608695652,2.9,-5.0,100.0,L,-11.0
20700089,2007-11-11 00:00:00,CHA,HOU,5.5,6.5,187.5,186.0,3.35,1.3636363636363638,6.0,94.5,L,-3.0
20700088,2007-11-11 00:00:00,PHI,NOH,2.0,3.0,192.5,190.5,2.3,1.6666666666666663,-2.5,95.0,L,-21.0
20700087,2007-11-11 00:00:00,NYK,MIA,-4.0,-3.0,196.0,192.0,1.6666666666666663,2.3,-1.0,93.5,L,-3.0
20700090,2007-11-11 00:00:00,SAS,MIL,-10.5,-10.5,185.0,186.5,1.1428571428571428,6.5,1.5,93.5,W,25.0
20700091,2007-11-11 00:00:00,SEA,DET,6.5,6.5,199.0,196.0,3.35,1.3636363636363638,-1.0,96.0,L,-4.0
20700092,2007-11-11 00:00:00,LAC,CLE,0.0,1.0,196.0,192.0,1.9090909090909087,1.9090909090909087,-1.5,95.0,L,-8.0
20700093,2007-11-12 00:00:00,NJN,NOH,-2.0,2.0,189.0,184.5,2.1,1.7692307692307692,-3.0,92.5,L,-2.0
20700094,2007-11-12 00:00:00,DEN,CLE,-6.5,-7.5,205.5,208.0,1.2985074626865671,3.85,0.0,101.5,W,22.0
20700095,2007-11-12 00:00:00,UTA,SAC,-13.5,-14.0,204.5,206.0,1.0588235294117647,11.5,-1.5,101.0,W,24.0
20700097,2007-11-13 00:00:00,ORL,SEA,-10.5,-10.5,209.5,209.0,1.1538461538461535,6.25,-3.0,99.5,W,27.0
20700096,2007-11-13 00:00:00,CHA,MIA,-2.0,-1.5,181.0,178.0,1.8,2.05,0.0,88.5,W,15.0
20700098,2007-11-13 00:00:00,IND,BOS,6.0,7.0,197.5,198.0,3.5,1.3333333333333333,1.5,97.5,L,-15.0
20700099,2007-11-13 00:00:00,MEM,HOU,6.5,6.5,198.5,201.5,3.3,1.3703703703703702,2.5,101.0,W,6.0
20700100,2007-11-13 00:00:00,DAL,PHI,-12.0,-11.0,190.5,192.5,1.125,7.0,-10.5,96.5,W,15.0
20700101,2007-11-13 00:00:00,SAS,LAL,-8.5,-8.0,198.5,199.0,1.273972602739726,4.05,1.0,98.0,W,15.0
20700102,2007-11-13 00:00:00,PHX,NYK,-11.0,-13.0,207.0,210.5,1.0714285714285714,10.0,-4.5,103.0,W,11.0
20700103,2007-11-13 00:00:00,POR,DET,4.5,5.0,189.0,190.0,2.9,1.434782608695652,2.5,94.5,W,8.0
20700105,2007-11-14 00:00:00,WAS,IND,-6.0,-5.5,201.5,200.5,1.4166666666666667,3.0,2.0,99.0,W,13.0
20700107,2007-11-14 00:00:00,CLE,ORL,-4.5,-3.0,194.5,190.5,1.6666666666666663,2.3,-2.0,96.5,L,-1.0
20700104,2007-11-14 00:00:00,TOR,UTA,-1.0,0.0,203.0,204.0,1.9090909090909087,1.9090909090909087,0.0,104.5,L,-4.0
20700106,2007-11-14 00:00:00,ATL,CHA,-5.0,-5.5,187.5,188.0,1.4166666666666667,3.0,1.5,93.5,W,8.0
20700109,2007-11-14 00:00:00,MIA,SEA,-6.0,-7.0,193.5,191.5,1.3448275862068966,3.4,-7.0,92.5,L,-9.0
20700108,2007-11-14 00:00:00,BOS,NJN,-9.5,-10.0,184.5,181.0,1.1538461538461535,6.25,-6.0,93.5,W,22.0
20700112,2007-11-14 00:00:00,MIN,SAC,-3.0,-2.0,194.0,190.5,1.7692307692307692,2.1,-1.5,96.0,W,5.0
20700110,2007-11-14 00:00:00,MIL,MEM,-6.0,-6.5,205.0,206.5,1.3846153846153846,3.2,-2.0,101.0,W,3.0
20700111,2007-11-14 00:00:00,NOH,PHI,-8.5,-8.5,187.5,187.5,1.2222222222222223,4.7,-5.5,93.0,W,19.0
20700114,2007-11-14 00:00:00,DEN,POR,-10.0,-11.0,211.5,212.0,1.1428571428571428,6.5,-2.5,105.0,W,17.0
20700113,2007-11-14 00:00:00,HOU,LAL,-7.5,-6.5,199.0,199.5,1.3448275862068966,3.4,-6.0,100.5,L,-3.0
20700115,2007-11-14 00:00:00,LAC,NYK,-7.0,-7.5,200.0,200.5,1.3076923076923077,3.75,-5.5,99.0,W,3.0
20700116,2007-11-14 00:00:00,GSW,DET,3.0,1.0,207.0,211.0,2.0,1.8333333333333333,3.5,100.5,L,-7.0
20700117,2007-11-15 00:00:00,DAL,SAS,-3.0,-1.5,186.5,189.5,1.8,2.05,5.0,94.0,W,13.0
20700118,2007-11-15 00:00:00,PHX,CHI,-7.5,-8.5,203.0,204.0,1.2352941176470589,4.55,-1.5,102.0,W,10.0
20700120,2007-11-16 00:00:00,PHI,POR,-3.0,-3.0,186.0,184.0,1.6666666666666663,2.3,-5.0,93.0,W,4.0
20700119,2007-11-16 00:00:00,TOR,IND,-8.5,-7.5,193.5,195.5,1.2985074626865671,3.85,-5.5,98.5,W,9.0
20700121,2007-11-16 00:00:00,BOS,MIA,-10.5,-10.0,184.0,183.0,1.1538461538461535,6.25,-4.5,93.0,W,1.0
20700122,2007-11-16 00:00:00,NJN,ORL,3.5,3.5,184.0,186.0,2.5,1.5882352941176472,-2.0,94.0,L,-25.0
20700124,2007-11-16 00:00:00,CLE,UTA,2.0,-1.5,203.0,199.5,1.8,2.05,-1.0,103.0,W,5.0
20700123,2007-11-16 00:00:00,ATL,SEA,-7.5,-6.0,206.0,204.5,1.3636363636363638,3.35,-5.5,100.5,L,-3.0
20700126,2007-11-16 00:00:00,SAS,HOU,-8.5,-9.0,181.0,177.5,1.2,5.0,-5.0,90.0,W,6.0
20700125,2007-11-16 00:00:00,MEM,NOH,3.5,3.0,202.0,204.5,2.4,1.625,0.0,99.5,L,-2.0
20700127,2007-11-16 00:00:00,MIN,WAS,2.5,3.5,194.5,191.5,2.5,1.5882352941176472,5.0,99.5,L,-16.0
20700128,2007-11-16 00:00:00,SAC,NYK,-3.0,-3.5,199.0,198.5,1.5882352941176472,2.5,1.0,98.5,W,5.0
20700129,2007-11-16 00:00:00,LAL,DET,-3.5,-4.0,201.0,198.5,1.5714285714285714,2.55,-2.0,98.0,W,12.0
20700130,2007-11-16 00:00:00,GSW,LAC,-3.5,-5.5,216.0,219.5,1.4,3.1,0.0,106.0,W,17.0
20700131,2007-11-17 00:00:00,WAS,POR,-5.5,-4.5,195.0,190.0,1.4878048780487805,2.75,1.0,97.5,W,19.0
20700132,2007-11-17 00:00:00,CHA,SEA,-7.5,-8.0,196.5,199.5,1.2777777777777777,4.0,-6.0,99.0,W,16.0
20700133,2007-11-17 00:00:00,IND,UTA,6.0,5.0,203.0,204.5,2.9,1.434782608695652,6.0,107.0,W,20.0
20700134,2007-11-17 00:00:00,NJN,MIA,-2.0,3.0,180.0,174.0,2.35,1.6451612903225803,-1.5,88.0,L,-4.0
20700135,2007-11-17 00:00:00,MIN,NOH,5.5,4.0,190.0,188.0,2.6,1.526315789473684,2.0,91.0,L,-18.0
20700136,2007-11-17 00:00:00,MIL,ATL,-8.0,-7.5,198.5,196.5,1.2985074626865671,3.85,-1.0,98.5,W,9.0
20700138,2007-11-17 00:00:00,DAL,MEM,-12.5,-14.0,210.0,213.0,1.0666666666666669,10.5,-9.0,105.0,W,3.0
20700137,2007-11-17 00:00:00,HOU,PHX,4.5,5.5,198.0,196.0,3.1,1.4,-1.5,98.0,L,-10.0
20700139,2007-11-17 00:00:00,DEN,NYK,-12.5,-14.0,216.0,213.5,1.0769230769230769,9.5,-3.0,102.5,W,32.0
20700140,2007-11-17 00:00:00,LAC,CHI,1.5,3.0,191.0,187.0,2.4,1.625,-1.5,92.5,L,-19.0
20700141,2007-11-18 00:00:00,TOR,GSW,-5.0,-6.5,217.5,219.5,1.3846153846153846,3.2,-3.5,109.0,L,-6.0
20700142,2007-11-18 00:00:00,ORL,BOS,0.0,1.0,189.0,187.5,2.0,1.8333333333333333,5.5,94.5,W,2.0
20700143,2007-11-18 00:00:00,SAC,DET,5.0,4.5,193.0,195.5,2.75,1.4878048780487805,1.0,97.0,W,10.0
