,GAME_ID,HOMEML,AWAYML,WL_HOME,HOMESPREAD_ATCLOSE,PRED_SPREAD,HWAGER,AWAGER,PRED_ML
1675,21700516,2.5,1.5555555555555556,W,4.0,-3.26766,0.0,0.0,0.673355
1676,41600236,1.181818181818182,5.16,L,-8.5,0.66842216,0.0,0.0,0.5284254
1677,21300630,1.3703703703703702,3.3,L,-6.5,-3.3886423,0.0,0.0,0.67596996
1678,21400314,5.2,1.18348623853211,W,9.5,-1.2867597,0.0,0.0,0.5761028
1679,21801149,1.1538461538461535,5.5,L,-10.5,-6.207576,0.0,0.0,0.6951956
1680,22000088,4.0,1.2777777777777777,L,8.5,2.1551588,0.0,0.0,0.37723655
1681,21000980,1.7142857142857144,2.2,W,-3.0,-4.5968256,0.0,0.0,0.7312698
1682,21700351,1.25,4.0,W,-8.5,-5.622568,0.0,0.0,0.8378189
1683,21401051,1.3076923076923077,3.65,W,-7.5,-3.2885692,0.0,0.0,0.64678854
1684,20900967,1.0909090909090908,8.0,W,-11.5,-2.1853058,0.0,0.0,0.68257105
1685,20800773,1.25,4.2,W,-8.0,-4.8773074,0.0,0.0,0.61337066
1686,20800972,1.4166666666666667,3.0,W,-5.5,-2.848739,0.0,0.0,0.71510917
1687,21301154,1.3225806451612905,3.55,W,-7.0,-11.813756,0.0,0.0,0.8614847
1688,41200305,1.2702702702702702,4.05,W,-7.5,-2.5577214,0.0,0.0,0.77889067
1689,20900504,1.847457627118644,1.9803921568627447,L,-1.0,-5.204423,0.0,0.0,0.8786944
1690,21700953,3.5,1.3225806451612905,L,7.0,8.300503,0.0,0.0,0.3550232
1691,21401087,1.3846153846153846,3.1,W,-6.5,0.28001183,0.0,0.0,0.56052357
1692,21700617,2.15,1.7407407407407407,W,2.0,4.112809,0.0,1.0,0.4291992
1693,20900663,1.0769230769230769,9.5,W,-13.0,-8.959411,0.0,0.0,0.72072226
1694,21601138,1.434782608695652,2.95,W,-5.5,0.41571158,0.0,0.0,0.43352345
1695,21100605,2.05,1.8,L,1.5,-0.17344522,0.0,0.0,0.6531886
1696,20800369,2.2,1.7142857142857144,L,2.5,3.0173676,0.0,0.0,0.36320814
1697,41400173,1.5882352941176472,2.45,L,-3.5,-6.32731,0.0,0.0,0.76853156
